LibraryElement, DeclaringType, EntityKind, Count, Status
eShopLegacyWebForms.Models.CatalogItemHiLoGenerator.GetNextSequenceValue,eShopLegacyWebForms.Models.CatalogItemHiLoGenerator,Method,2,1
eShopLegacyWebForms.Models.CatalogItemHiLoGenerator..ctor,eShopLegacyWebForms.Models.CatalogItemHiLoGenerator,Method,1,1
eShopLegacyWebForms.Services.CatalogServiceMock.GetCatalogItems.items,eShopLegacyWebForms.Services.CatalogServiceMock.GetCatalogItems.items,Type,1,1
System.ComponentModel.DataAnnotations.RegularExpressionAttribute..ctor,System.ComponentModel.DataAnnotations.RegularExpressionAttribute,Method,1,1
eShopLegacyWebForms.Services.CatalogServiceMock..b,eShopLegacyWebForms.Services.CatalogServiceMock..b,Type,2,1
eShopLegacyWebForms.Models.Infrastructure.CatalogDBInitializer.GetSequenceIdFromSelectedDBSequence,eShopLegacyWebForms.Models.Infrastructure.CatalogDBInitializer,Method,4,1
eShopLegacyWebForms.Models.Infrastructure.CatalogDBInitializer..ctor,eShopLegacyWebForms.Models.Infrastructure.CatalogDBInitializer,Method,1,1
eShopLegacyWebForms.Models.Infrastructure.CatalogDBInitializer.ExecuteScript,eShopLegacyWebForms.Models.Infrastructure.CatalogDBInitializer,Method,6,1
eShopLegacyWebForms.Models.Infrastructure.CatalogDBInitializer.AddCatalogTypes,eShopLegacyWebForms.Models.Infrastructure.CatalogDBInitializer,Method,2,1
eShopLegacyWebForms.Models.Infrastructure.CatalogDBInitializer.AddCatalogBrands,eShopLegacyWebForms.Models.Infrastructure.CatalogDBInitializer,Method,2,1
eShopLegacyWebForms.Models.Infrastructure.CatalogDBInitializer.AddCatalogItems,eShopLegacyWebForms.Models.Infrastructure.CatalogDBInitializer,Method,2,1
eShopLegacyWebForms.Models.Infrastructure.CatalogDBInitializer.AddCatalogItemPictures,eShopLegacyWebForms.Models.Infrastructure.CatalogDBInitializer,Method,2,1
eShopLegacyWebForms.Models.Infrastructure.CatalogDBInitializer,eShopLegacyWebForms.Models.Infrastructure.CatalogDBInitializer,Type,1,1
eShopLegacyWebForms.ViewModel.CatalogItemsViewModel`1.TEntity,eShopLegacyWebForms.ViewModel.CatalogItemsViewModel`1.TEntity,Type,2,1
eShopLegacyWebForms.Models.Infrastructure.CatalogDBInitializer.DBBrandSequenceName,eShopLegacyWebForms.Models.Infrastructure.CatalogDBInitializer,Field,1,1
eShopLegacyWebForms.Models.Infrastructure.CatalogDBInitializer.DBCatalogSequenceName,eShopLegacyWebForms.Models.Infrastructure.CatalogDBInitializer,Field,1,1
eShopLegacyWebForms.Models.Infrastructure.CatalogDBInitializer.indexGenerator,eShopLegacyWebForms.Models.Infrastructure.CatalogDBInitializer,Field,2,1
eShopLegacyWebForms.Models.Infrastructure.CatalogDBInitializer.CatalogItemHiLoSequenceScript,eShopLegacyWebForms.Models.Infrastructure.CatalogDBInitializer,Field,1,1
eShopLegacyWebForms.Models.Infrastructure.CatalogDBInitializer.CatalogBrandHiLoSequenceScript,eShopLegacyWebForms.Models.Infrastructure.CatalogDBInitializer,Field,1,1
eShopLegacyWebForms.Models.Infrastructure.CatalogDBInitializer.CatalogTypeHiLoSequenceScript,eShopLegacyWebForms.Models.Infrastructure.CatalogDBInitializer,Field,1,1
eShopLegacyWebForms.Home.___Build__Control10.BoundField,eShopLegacyWebForms.Home.___Build__Control10.BoundField,Type,3,1
eShopLegacyWebForms.Services.CatalogService..ci,eShopLegacyWebForms.Services.CatalogService..ci,Type,1,1
eShopLegacyWebForms.Home.___Build__Control5.BoundField,eShopLegacyWebForms.Home.___Build__Control5.BoundField,Type,3,1
System.Data.Entity.DropCreateDatabaseIfModelChanges`1,System.Data.Entity.DropCreateDatabaseIfModelChanges`1,Type,1,1
System.Web.UI.WebControls.GridViewPageEventArgs.NewPageIndex,System.Web.UI.WebControls.GridViewPageEventArgs,Property,2,1
